ID,sex,year_birth,race,experience,hours,wage,tenure,industry,occup,education
178,female,1980,non-black / non-hispanic,555,45,12.92,73,"education, health, social services",Teachers,college/graduate degree
181,female,1982,non-black / non-hispanic,479,35,12.86,257,"education, health, social services",Teachers,college/graduate degree
182,female,1984,non-black / non-hispanic,480,50,31.540001,227,"finance, insurance, real estate, other professional","Management, business, and financial",college/graduate degree
183,female,1980,non-black / non-hispanic,649,43,16.32,59,"finance, insurance, real estate, other professional",Professional and related,college/graduate degree
185,male,1981,black,354,11,5,32,"entertainment, accomodation, food and other services",Services,high school
190,male,1983,non-black / non-hispanic,327,40,15,32,trade,Office and administrative support,ged or none
191,male,1982,non-black / non-hispanic,526,40,9,10,"agriculture, mining, manufacturing",Transportation and material moving,high school
192,female,1982,hispanic,269,40,14.76,122,"education, health, social services",Office and administrative support,high school
193,female,1981,black,387,35,18.5,96,"entertainment, accomodation, food and other services",Office and administrative support,high school
194,female,1980,hispanic,570,40,16.35,492,"finance, insurance, real estate, other professional",Office and administrative support,some  college
195,male,1983,black,266,40,2.1400001,18,"entertainment, accomodation, food and other services",Services,high school
198,female,1980,non-black / non-hispanic,531,30,8.3299999,27,"entertainment, accomodation, food and other services",Services,high school
199,male,1982,non-black / non-hispanic,447,40,17,9,"transportation, communication",Transportation and material moving,college/graduate degree
200,male,1980,non-black / non-hispanic,487,12,10,13,"entertainment, accomodation, food and other services",Services,some  college
201,female,1983,non-black / non-hispanic,540,26,2.1300001,40,"entertainment, accomodation, food and other services",Services,college/graduate degree
202,male,1982,non-black / non-hispanic,503,40,20,16,trade,"Installation, maintenance, and repair",ged or none
203,female,1984,non-black / non-hispanic,564,45,26.92,188,"agriculture, mining, manufacturing","Management, business, and financial",college/graduate degree
204,female,1981,non-black / non-hispanic,644,45,17.950001,212,"entertainment, accomodation, food and other services",Office and administrative support,some  college
206,male,1982,non-black / non-hispanic,618,38,16,308,trade,"Installation, maintenance, and repair",college/graduate degree
212,male,1980,hispanic,681,50,17.67,491,trade,Sales and related,ged or none
213,female,1982,hispanic,246,55,12.68,139,"education, health, social services",Teachers,college/graduate degree
214,female,1982,hispanic,628,38,42.509998,119,"finance, insurance, real estate, other professional","Management, business, and financial",some  college
215,male,1981,hispanic,419,40,18.15,260,"agriculture, mining, manufacturing",Transportation and material moving,some  college
216,female,1980,hispanic,649,30,16.309999,359,"finance, insurance, real estate, other professional",Office and administrative support,some  college
219,male,1982,mixed race (non-hispanic),341,32,3,132,"entertainment, accomodation, food and other services",Services,college/graduate degree
221,female,1984,non-black / non-hispanic,427,40,13.33,151,"transportation, communication","Management, business, and financial",college/graduate degree
222,male,1981,hispanic,654,40,15,237,"transportation, communication",Office and administrative support,college/graduate degree
223,male,1981,hispanic,607,40,10.88,194,"transportation, communication",Office and administrative support,some  college
224,female,1982,non-black / non-hispanic,570,40,16.23,470,"transportation, communication",Production,high school
225,male,1980,non-black / non-hispanic,746,40,20.049999,469,"public administration, military and special",Office and administrative support,high school
227,female,1980,mixed race (non-hispanic),179,40,10,28,"entertainment, accomodation, food and other services",Transportation and material moving,ged or none
228,male,1984,non-black / non-hispanic,535,20,10.75,55,"finance, insurance, real estate, other professional",Office and administrative support,college/graduate degree
229,female,1984,non-black / non-hispanic,545,36,3.6300001,364,"entertainment, accomodation, food and other services",Services,college/graduate degree
230,male,1984,hispanic,390,40,21.15,78,"public administration, military and special",Professional and related,college/graduate degree
233,male,1980,hispanic,474,40,14,105,trade,Office and administrative support,high school
234,female,1983,hispanic,421,40,10,90,"education, health, social services",Services,high school
235,female,1981,non-black / non-hispanic,689,50,21,504,"finance, insurance, real estate, other professional",Office and administrative support,college/graduate degree
236,female,1984,hispanic,440,40,18,236,trade,Sales and related,college/graduate degree
237,male,1983,non-black / non-hispanic,514,40,20.190001,14,"transportation, communication","Management, business, and financial",college/graduate degree
240,female,1983,non-black / non-hispanic,345,50,21.15,181,"public administration, military and special","Management, business, and financial",college/graduate degree
241,female,1983,hispanic,414,40,20,24,"education, health, social services",Professional and related,college/graduate degree
244,male,1983,hispanic,571,40,32.939999,39,trade,Office and administrative support,high school
245,female,1984,non-black / non-hispanic,345,24,13,4,"education, health, social services",Office and administrative support,college/graduate degree
246,male,1980,hispanic,611,40,33.650002,280,"finance, insurance, real estate, other professional",Professional and related,college/graduate degree
247,male,1982,non-black / non-hispanic,551,60,17.629999,51,"entertainment, accomodation, food and other services","Management, business, and financial",college/graduate degree
248,female,1983,non-black / non-hispanic,635,45,21.370001,191,"finance, insurance, real estate, other professional","Management, business, and financial",college/graduate degree
251,male,1982,hispanic,546,40,18.6,188,"transportation, communication",Professional and related,college/graduate degree
252,female,1984,hispanic,323,32,20,127,"finance, insurance, real estate, other professional",Professional and related,college/graduate degree
254,male,1981,non-black / non-hispanic,454,168,13.33,215,"transportation, communication",Production,some  college
256,male,1980,non-black / non-hispanic,443,40,0,24,"finance, insurance, real estate, other professional","Management, business, and financial",ged or none
257,male,1984,non-black / non-hispanic,251,13,10,59,"education, health, social services",Services,ged or none
258,male,1982,non-black / non-hispanic,558,35,10.4,79,"education, health, social services",Teachers,college/graduate degree
260,male,1980,black,405,30,10.58,3,"education, health, social services",Teachers,college/graduate degree
261,male,1983,black,462,40,18,191,"transportation, communication","Installation, maintenance, and repair",high school
262,male,1980,black,97,16,25,89,"finance, insurance, real estate, other professional",Services,ged or none
264,male,1982,non-black / non-hispanic,402,40,11.5,35,trade,Office and administrative support,some  college
265,male,1983,hispanic,330,40,17.65,319,"entertainment, accomodation, food and other services",Services,high school
266,female,1980,non-black / non-hispanic,733,50,25,347,trade,"Management, business, and financial",college/graduate degree
267,female,1980,non-black / non-hispanic,433,55,15.38,228,trade,Sales and related,college/graduate degree
268,male,1981,hispanic,524,35,12,112,trade,Sales and related,some  college
270,female,1984,non-black / non-hispanic,473,40,13.46,56,"education, health, social services",Professional and related,some  college
271,female,1982,non-black / non-hispanic,451,35,13.5,243,"education, health, social services",Office and administrative support,ged or none
272,female,1982,hispanic,248,40,8.5,34,"entertainment, accomodation, food and other services","Management, business, and financial",ged or none
274,female,1980,hispanic,524,40,11,212,trade,Services,ged or none
275,male,1980,hispanic,645,7,28.57,82,"entertainment, accomodation, food and other services",Services,ged or none
278,male,1980,non-black / non-hispanic,737,40,19.23,229,trade,Sales and related,high school
280,male,1983,non-black / non-hispanic,653,44,30.68,306,"finance, insurance, real estate, other professional",Professional and related,college/graduate degree
281,male,1984,black,573,45,13,100,construction,Construction and extraction,high school
282,male,1980,non-black / non-hispanic,660,40,10,477,trade,Sales and related,high school
283,male,1984,non-black / non-hispanic,502,40,15.12,495,trade,Office and administrative support,college/graduate degree
285,male,1981,non-black / non-hispanic,516,52,18.120001,356,trade,Sales and related,high school
286,female,1984,non-black / non-hispanic,535,12,15,135,"education, health, social services",Services,college/graduate degree
287,male,1980,non-black / non-hispanic,715,40,23,589,"transportation, communication",Construction and extraction,high school
288,female,1983,non-black / non-hispanic,552,40,17.25,257,trade,Sales and related,high school
289,female,1984,non-black / non-hispanic,521,40,11.45,179,"education, health, social services",Teachers,high school
290,female,1984,non-black / non-hispanic,478,20,10,216,"education, health, social services",Teachers,high school
291,female,1980,non-black / non-hispanic,444,44,12.37,160,trade,Sales and related,high school
292,female,1984,black,395,38,18.360001,119,"education, health, social services",Services,some  college
293,female,1983,hispanic,364,50,25,17,construction,Services,college/graduate degree
294,male,1982,hispanic,624,40,9,19,"transportation, communication",Transportation and material moving,college/graduate degree
295,female,1984,hispanic,503,10,10,29,"finance, insurance, real estate, other professional",Office and administrative support,high school
296,female,1981,hispanic,576,35,10.44,7,"finance, insurance, real estate, other professional",Office and administrative support,college/graduate degree
297,male,1984,hispanic,443,40,15.26,269,"agriculture, mining, manufacturing",Transportation and material moving,high school
298,female,1983,non-black / non-hispanic,587,40,16,32,"finance, insurance, real estate, other professional",Office and administrative support,some  college
299,male,1981,non-black / non-hispanic,571,30,15.5,53,trade,Sales and related,high school
304,male,1983,non-black / non-hispanic,538,40,16,52,"finance, insurance, real estate, other professional",Professional and related,some  college
307,female,1980,non-black / non-hispanic,657,30,44.869999,374,"education, health, social services",Teachers,college/graduate degree
312,female,1982,non-black / non-hispanic,560,35,17.139999,147,"finance, insurance, real estate, other professional",Professional and related,some  college
313,female,1981,non-black / non-hispanic,572,45,37.389999,375,"finance, insurance, real estate, other professional",Office and administrative support,college/graduate degree
321,male,1981,non-black / non-hispanic,766,43,44.720001,83,construction,Construction and extraction,high school
322,female,1982,non-black / non-hispanic,503,30,18.5,51,"education, health, social services",Office and administrative support,college/graduate degree
323,male,1980,non-black / non-hispanic,508,44,24.48,283,"finance, insurance, real estate, other professional",Professional and related,some  college
325,male,1984,non-black / non-hispanic,216,8,15,9,"education, health, social services",Services,college/graduate degree
326,female,1980,non-black / non-hispanic,657,36,26.709999,36,"education, health, social services","Management, business, and financial",college/graduate degree
327,female,1983,non-black / non-hispanic,548,50,32.41,167,"education, health, social services",Teachers,college/graduate degree
329,male,1984,non-black / non-hispanic,478,20,11.63,148,"education, health, social services",Teachers,college/graduate degree
331,female,1980,non-black / non-hispanic,739,35,23.629999,564,"public administration, military and special",Office and administrative support,some  college
332,male,1980,non-black / non-hispanic,775,42,20.49,152,"education, health, social services",Office and administrative support,college/graduate degree
333,female,1982,non-black / non-hispanic,626,16,17,54,"education, health, social services",Services,high school
336,male,1982,black,503,40,31.25,210,"education, health, social services",Teachers,college/graduate degree
337,male,1983,non-black / non-hispanic,532,40,32.209999,262,"finance, insurance, real estate, other professional",Professional and related,some  college
339,female,1981,non-black / non-hispanic,606,40,42,147,"education, health, social services",Services,college/graduate degree
341,male,1983,non-black / non-hispanic,427,40,14.53,122,"finance, insurance, real estate, other professional","Management, business, and financial",college/graduate degree
342,male,1982,non-black / non-hispanic,519,20,310,47,"finance, insurance, real estate, other professional",Professional and related,ged or none
344,male,1984,non-black / non-hispanic,182,4,0,40,"finance, insurance, real estate, other professional",Professional and related,high school
345,male,1984,non-black / non-hispanic,229,20,310,43,"finance, insurance, real estate, other professional",Professional and related,ged or none
346,male,1984,hispanic,265,15,9,5,trade,Sales and related,some  college
347,male,1981,hispanic,520,24,8,510,"entertainment, accomodation, food and other services",Services,high school
348,male,1983,hispanic,536,40,9.5,39,"entertainment, accomodation, food and other services",Sales and related,ged or none
350,male,1984,non-black / non-hispanic,454,40,11.63,95,construction,Construction and extraction,high school
354,female,1982,hispanic,545,40,19,387,"finance, insurance, real estate, other professional",Office and administrative support,high school
355,female,1980,hispanic,484,40,18.5,20,"finance, insurance, real estate, other professional","Management, business, and financial",high school
356,female,1982,hispanic,325,40,10.91,29,"public administration, military and special",Office and administrative support,high school
357,male,1981,hispanic,518,40,21.639999,130,"finance, insurance, real estate, other professional","Management, business, and financial",some  college
358,male,1983,hispanic,400,40,17,36,"agriculture, mining, manufacturing",Production,college/graduate degree
360,male,1984,hispanic,441,45,29.059999,206,"finance, insurance, real estate, other professional","Management, business, and financial",college/graduate degree
362,female,1981,hispanic,433,40,13.75,105,"education, health, social services",Office and administrative support,some  college
363,female,1983,hispanic,497,40,14.25,233,"education, health, social services",Office and administrative support,some  college
364,female,1984,hispanic,522,40,18,171,"finance, insurance, real estate, other professional","Management, business, and financial",some  college
365,female,1982,hispanic,395,40,20.83,23,"finance, insurance, real estate, other professional",Office and administrative support,high school
366,female,1980,hispanic,461,40,23,174,"public administration, military and special",Services,college/graduate degree
367,male,1981,hispanic,407,40,15,193,"public administration, military and special",Office and administrative support,college/graduate degree
368,female,1981,hispanic,561,40,13.38,186,"education, health, social services",Services,some  college
370,male,1981,hispanic,275,144,31.25,31,"transportation, communication",Transportation and material moving,ged or none
372,male,1983,hispanic,464,40,13.95,73,"agriculture, mining, manufacturing",Transportation and material moving,high school
373,female,1984,hispanic,311,33,9,187,trade,Sales and related,high school
374,female,1981,non-black / non-hispanic,548,40,17.209999,523,"education, health, social services",Services,high school
376,male,1981,black,702,40,26,44,"finance, insurance, real estate, other professional","Management, business, and financial",some  college
377,female,1984,black,218,40,10,13,"finance, insurance, real estate, other professional",Services,high school
378,male,1984,black,390,40,15.8,223,"finance, insurance, real estate, other professional","Management, business, and financial",some  college
382,female,1980,non-black / non-hispanic,663,35,21.98,145,"education, health, social services",Teachers,college/graduate degree
385,male,1981,hispanic,258,40,8,28,"entertainment, accomodation, food and other services",Services,some  college
386,male,1980,hispanic,578,40,15.87,5,"finance, insurance, real estate, other professional",Sales and related,some  college
387,female,1983,hispanic,311,50,10.75,112,"finance, insurance, real estate, other professional",Office and administrative support,ged or none
388,female,1982,hispanic,260,20,8,19,trade,Sales and related,ged or none
390,female,1983,non-black / non-hispanic,461,38,20.299999,199,trade,Services,high school
391,male,1980,non-black / non-hispanic,365,40,25,223,"agriculture, mining, manufacturing",Professional and related,college/graduate degree
392,male,1980,hispanic,542,37,21.57,187,"finance, insurance, real estate, other professional","Management, business, and financial",some  college
393,male,1983,hispanic,202,25,9,32,"entertainment, accomodation, food and other services",Services,college/graduate degree
394,male,1984,hispanic,378,40,30.5,56,"agriculture, mining, manufacturing","Installation, maintenance, and repair",college/graduate degree
395,male,1984,non-black / non-hispanic,629,30,9.5,308,trade,Sales and related,some  college
396,male,1983,non-black / non-hispanic,459,50,13.02,244,"finance, insurance, real estate, other professional",Professional and related,college/graduate degree
398,male,1980,hispanic,400,52,19,223,"education, health, social services",Services,some  college
402,female,1984,non-black / non-hispanic,392,40,14,198,"education, health, social services",Services,high school
404,male,1980,non-black / non-hispanic,846,45,20.09,109,"agriculture, mining, manufacturing",Office and administrative support,college/graduate degree
407,female,1981,hispanic,110,40,6.25,24,"education, health, social services",Services,high school
408,male,1980,black,506,40,18.02,352,"public administration, military and special",Office and administrative support,some  college
409,female,1980,black,314,40,8.5,51,"transportation, communication",Transportation and material moving,high school
413,male,1980,black,699,40,15.11,156,"finance, insurance, real estate, other professional",Services,high school
415,female,1981,non-black / non-hispanic,695,30,52.25,322,"education, health, social services",Teachers,college/graduate degree
416,female,1980,non-black / non-hispanic,359,70,2357.1399,48,"finance, insurance, real estate, other professional",Professional and related,college/graduate degree
417,female,1983,non-black / non-hispanic,431,40,21.629999,200,"finance, insurance, real estate, other professional","Management, business, and financial",college/graduate degree
419,male,1984,non-black / non-hispanic,195,12,85,65,"education, health, social services",Services,some  college
420,male,1980,non-black / non-hispanic,455,40,26.25,232,"finance, insurance, real estate, other professional",Professional and related,college/graduate degree
421,male,1982,non-black / non-hispanic,347,40,15,259,trade,Office and administrative support,high school
422,male,1981,mixed race (non-hispanic),410,40,17,66,"education, health, social services",Services,college/graduate degree
423,female,1984,mixed race (non-hispanic),376,31,17,361,"education, health, social services",Services,college/graduate degree
424,female,1984,hispanic,405,39,22.6,151,trade,"Management, business, and financial",college/graduate degree
425,female,1982,non-black / non-hispanic,596,21,27,102,"education, health, social services",Teachers,college/graduate degree
426,female,1980,hispanic,299,37,8.5,45,trade,Sales and related,high school
427,male,1981,hispanic,451,40,8.5,66,construction,Construction and extraction,high school
428,female,1984,hispanic,374,40,17,309,trade,Sales and related,some  college
432,male,1981,hispanic,320,40,10,173,construction,"Management, business, and financial",high school
433,female,1984,hispanic,340,55,16.91,148,"education, health, social services",Services,some  college
434,male,1982,non-black / non-hispanic,295,12,17.85,5,"finance, insurance, real estate, other professional",Professional and related,high school
435,female,1981,hispanic,454,40,24.040001,420,"public administration, military and special",Services,college/graduate degree
436,female,1982,hispanic,20,30,10,14,"agriculture, mining, manufacturing","Management, business, and financial",ged or none
438,male,1983,hispanic,370,40,12.6,282,"agriculture, mining, manufacturing",Office and administrative support,high school
439,female,1984,hispanic,304,37,8,50,"education, health, social services",Services,ged or none
440,male,1980,hispanic,250,40,14.42,318,"entertainment, accomodation, food and other services","Installation, maintenance, and repair",high school
441,male,1982,hispanic,232,30,7.6900001,85,"entertainment, accomodation, food and other services","Installation, maintenance, and repair",ged or none
442,female,1981,hispanic,417,28,16,121,"education, health, social services",Services,some  college
443,male,1980,hispanic,381,46,9.7799997,211,"entertainment, accomodation, food and other services",Services,high school
445,male,1981,hispanic,385,20,15,43,"agriculture, mining, manufacturing",Production,some  college
446,male,1983,hispanic,598,65,14.77,289,"public administration, military and special",Transportation and material moving,high school
450,female,1980,hispanic,559,40,10.81,182,"education, health, social services",Office and administrative support,high school
451,male,1983,hispanic,510,40,11.35,322,"agriculture, mining, manufacturing",Production,ged or none
454,male,1982,hispanic,464,40,10.12,20,trade,Office and administrative support,some  college
455,male,1984,hispanic,387,40,17.65,54,"education, health, social services",Services,some  college
456,male,1983,hispanic,351,40,16,180,"education, health, social services",Professional and related,college/graduate degree
457,male,1980,hispanic,481,80,0,7,trade,Sales and related,high school
458,male,1982,hispanic,426,35,27.469999,407,"entertainment, accomodation, food and other services",Services,some  college
459,female,1983,hispanic,416,21,9,101,"education, health, social services",Services,college/graduate degree
460,female,1981,hispanic,351,40,9.5,55,"entertainment, accomodation, food and other services",Services,high school
461,female,1983,hispanic,408,40,9,365,"entertainment, accomodation, food and other services","Management, business, and financial",ged or none
462,female,1981,hispanic,415,40,8,61,trade,Office and administrative support,high school
463,male,1982,hispanic,373,60,1,22,trade,Services,ged or none
464,female,1981,hispanic,486,40,14,230,trade,Office and administrative support,high school
466,male,1983,hispanic,466,40,15.63,200,trade,Office and administrative support,ged or none
467,female,1984,hispanic,191,20,17.5,31,trade,Sales and related,high school
468,female,1981,hispanic,551,36,15.56,358,"education, health, social services",Services,some  college
470,female,1981,hispanic,409,40,8,44,"agriculture, mining, manufacturing",Production,high school
471,male,1980,hispanic,240,30,20,346,"entertainment, accomodation, food and other services",Services,high school
472,female,1983,hispanic,452,40,17,87,"education, health, social services",Professional and related,college/graduate degree
475,male,1981,hispanic,555,40,16.5,517,trade,Sales and related,some  college
476,male,1982,black,56,37,11,17,"transportation, communication",Transportation and material moving,college/graduate degree
477,female,1982,hispanic,373,34,15,138,"education, health, social services",Services,high school
478,female,1983,non-black / non-hispanic,514,27,11.63,79,"finance, insurance, real estate, other professional","Management, business, and financial",some  college
479,female,1982,hispanic,540,40,16.25,174,"education, health, social services",Services,some  college
480,female,1980,hispanic,438,40,17.9,140,"transportation, communication","Management, business, and financial",high school
483,male,1980,hispanic,424,50,25,99,"finance, insurance, real estate, other professional",Professional and related,college/graduate degree
484,female,1982,hispanic,467,20,22,85,"transportation, communication",Services,college/graduate degree
485,male,1982,non-black / non-hispanic,374,40,40,209,"public administration, military and special",Services,college/graduate degree
486,female,1980,non-black / non-hispanic,667,60,16.35,425,"education, health, social services",Teachers,college/graduate degree
