name,idno,cntry,tvtot,tvpol,polintr,vote,lrscale,stflife,happy,health,rlgdgr,fclcntr,cgtsmke,alcfreq,height,weight,gndr,agea,yrbrn,marsts,edulvlb,eduyrs,emplrel
ESS7e02_1,67,AT,4,1,2,1,5,9,9,1,5,1,4,4,188,86,1,38,1977,6,322,12,1
ESS7e02_1,68,AT,7,0,4,2,5,8,8,1,5,2,5,7,159,60,2,35,1980,6,423,13,2
ESS7e02_1,77,AT,3,1,3,1,6,8,8,1,6,1,4,3,170,65,2,26,1989,6,423,13,1
ESS7e02_1,79,AT,7,1,3,1,5,7,7,2,3,1,4,2,172,70,1,33,1982,,322,14,1
ESS7e02_1,80,AT,3,1,2,1,3,9,9,1,2,2,4,1,177,65,2,57,1958,4,610,15,1
ESS7e02_1,81,AT,7,2,3,1,5,7,8,2,10,1,4,2,166,63,1,90,1925,5,212,8,
ESS7e02_1,82,AT,7,3,3,1,5,8,8,3,5,2,5,3,176,95,1,70,1945,,322,9,1
ESS7e02_1,89,AT,4,2,3,1,5,8,8,1,6,2,3,6,166,63,2,39,1975,,322,11,1
ESS7e02_1,90,AT,7,2,3,2,7,5,3,4,7,2,3,4,172,87,1,85,1929,,113,8,
ESS7e02_1,91,AT,2,1,3,1,6,8,8,2,7,2,4,3,170,78,1,59,1955,,212,9,2
ESS7e02_1,92,AT,3,2,4,1,6,8,8,3,6,2,5,3,166,78,2,40,1974,,322,9,1
ESS7e02_1,93,AT,2,1,4,1,7,10,8,2,2,1,5,3,164,57,2,19,1996,6,322,10,1
ESS7e02_1,94,AT,0,,1,1,6,10,10,1,0,2,5,7,168,64,2,45,1969,,620,16,2
ESS7e02_1,95,AT,3,2,2,1,3,9,8,2,4,2,5,3,165,60,2,39,1975,,710,17,1
ESS7e02_1,96,AT,2,1,3,1,5,8,9,1,6,2,3,2,183,95,1,37,1977,,322,9,1
ESS7e02_1,101,AT,3,1,2,1,6,8,7,2,2,1,5,2,186,93,1,43,1972,,322,9,1
ESS7e02_1,102,AT,7,1,2,1,6,8,8,1,8,1,3,6,165,76,2,35,1980,,313,13,1
ESS7e02_1,103,AT,7,3,2,1,2,8,9,3,5,2,1,5,170,59,2,57,1958,,313,16,1
ESS7e02_1,104,AT,7,3,1,1,3,6,5,3,5,1,5,1,176,82,1,78,1937,5,5555,12,2
ESS7e02_1,105,AT,5,1,2,1,8,1,3,3,5,1,5,4,179,95,1,44,1971,,322,9,2
ESS7e02_1,106,AT,2,1,2,1,5,10,10,1,7,1,3,6,159,68,2,42,1973,6,720,14,1
ESS7e02_1,107,AT,0,,2,1,3,3,3,3,3,2,3,6,180,94,2,40,1975,6,322,9,1
ESS7e02_1,109,AT,4,1,3,1,4,8,8,2,4,1,5,6,162,,2,39,1976,,720,20,1
ESS7e02_1,113,AT,3,1,3,1,5,8,8,2,3,2,3,2,175,72,1,40,1975,,322,12,1
ESS7e02_1,114,AT,4,1,2,1,5,8,8,2,6,2,3,2,178,74,1,45,1970,,423,13,1
ESS7e02_1,115,AT,4,1,1,1,7,9,8,1,7,2,4,2,183,89,1,32,1983,,322,12,3
ESS7e02_1,116,AT,6,2,2,1,7,8,8,3,8,2,5,2,162,65,2,80,1935,5,113,8,2
ESS7e02_1,117,AT,4,2,2,1,6,9,8,2,8,2,5,3,160,65,2,64,1951,,212,8,2
ESS7e02_1,118,AT,6,2,1,1,6,9,9,1,8,1,5,3,178,102,1,53,1962,,322,12,3
ESS7e02_1,119,AT,3,1,3,1,4,7,7,2,6,2,3,2,176,94,1,39,1976,,322,12,1
ESS7e02_1,125,AT,4,1,3,1,9,4,3,3,2,2,1,2,162,59,2,28,1987,4,212,9,1
ESS7e02_1,126,AT,4,2,2,1,5,8,7,4,8,1,1,5,164,56,2,47,1968,4,322,13,2
ESS7e02_1,127,AT,5,1,3,1,3,10,10,2,3,3,5,3,155,49,2,41,1974,,610,18,1
ESS7e02_1,137,AT,2,1,4,1,5,8,9,2,5,1,3,7,182,106,1,50,1965,,423,13,1
ESS7e02_1,139,AT,3,1,1,1,5,3,6,2,6,2,3,1,184,86,1,71,1944,6,113,14,2
ESS7e02_1,140,AT,2,1,2,1,5,10,10,1,9,1,5,3,178,80,1,41,1974,,322,11,1
ESS7e02_1,142,AT,7,2,2,1,5,7,7,3,8,1,3,2,174,76,1,69,1946,,322,12,1
ESS7e02_1,149,AT,7,4,2,1,5,4,5,2,5,2,1,6,168,68,2,53,1962,5,322,12,1
ESS7e02_1,151,AT,7,2,2,1,5,1,1,5,0,2,5,7,178,120,1,50,1965,,322,12,1
ESS7e02_1,152,AT,1,0,2,2,5,7,7,3,2,1,5,3,160,65,2,64,1951,,212,10,
ESS7e02_1,153,AT,2,1,3,2,2,9,8,2,8,2,5,2,170,65,1,46,1969,,322,12,1
ESS7e02_1,154,AT,2,1,3,1,2,8,9,1,7,2,2,6,164,66,2,24,1991,6,313,13,1
ESS7e02_1,161,AT,1,1,2,1,6,8,7,1,6,1,5,3,186,85,1,41,1974,6,710,16,2
ESS7e02_1,162,AT,2,1,3,1,5,7,8,1,5,2,5,7,169,54,2,43,1972,6,620,18,1
ESS7e02_1,163,AT,3,1,4,2,6,7,7,2,3,1,2,3,172,75,1,55,1960,6,212,8,1
ESS7e02_1,164,AT,1,0,3,1,3,4,5,2,1,2,3,7,160,82,2,74,1941,5,322,10,1
ESS7e02_1,165,AT,6,1,2,1,7,7,7,2,4,2,5,2,171,72,1,68,1947,4,322,14,1
ESS7e02_1,166,AT,3,0,4,2,6,7,6,2,1,2,1,2,165,62,2,46,1969,5,212,9,1
ESS7e02_1,167,AT,7,1,3,1,9,8,8,2,8,2,3,6,160,72,2,71,1944,5,212,10,1
ESS7e02_1,173,AT,5,1,3,1,4,7,8,2,6,2,3,4,161,69,2,72,1943,,322,12,1
ESS7e02_1,174,AT,5,2,2,1,6,9,8,1,6,2,3,2,181,76,1,52,1963,,313,13,1
ESS7e02_1,175,AT,1,1,3,1,5,9,9,2,5,2,3,6,170,70,2,45,1969,6,422,13,1
ESS7e02_1,176,AT,7,5,2,1,4,10,10,3,10,1,3,1,186,90,1,89,1925,,800,17,1
ESS7e02_1,177,AT,4,1,2,1,4,7,8,1,7,2,3,2,178,77,1,40,1975,,322,10,1
ESS7e02_1,178,AT,4,1,2,1,7,9,9,2,7,2,5,4,178,55,2,33,1981,6,610,13,1
ESS7e02_1,179,AT,2,2,2,1,3,7,8,1,2,1,4,3,183,74,1,49,1966,,800,22,1
ESS7e02_1,186,AT,2,1,2,2,2,8,7,2,6,2,5,3,158,55,2,60,1955,,322,12,1
ESS7e02_1,187,AT,3,1,3,1,5,6,8,3,5,2,5,4,180,75,1,85,1930,5,113,8,2
ESS7e02_1,188,AT,1,0,2,1,6,10,8,1,7,1,5,1,178,80,1,37,1978,,322,12,2
ESS7e02_1,189,AT,3,1,2,1,5,8,9,2,4,1,1,2,170,72,1,68,1947,,322,12,1
ESS7e02_1,197,AT,4,1,1,1,9,9,8,3,3,1,3,2,187,125,1,64,1950,,212,8,1
ESS7e02_1,198,AT,4,1,4,1,3,7,10,1,0,1,4,7,186,92,1,25,1990,6,322,12,1
ESS7e02_1,199,AT,2,0,4,1,8,9,6,1,0,1,1,3,153,65,2,31,1984,6,322,9,1
ESS7e02_1,200,AT,6,2,2,1,5,8,5,3,8,1,5,2,159,72,1,76,1939,5,322,10,1
ESS7e02_1,201,AT,6,2,3,2,5,6,7,3,6,1,5,5,160,62,2,73,1942,5,212,8,
ESS7e02_1,202,AT,2,1,2,1,7,9,7,2,4,1,4,2,180,83,1,34,1981,6,322,14,1
ESS7e02_1,209,AT,4,2,2,1,7,5,5,2,8,2,5,7,175,85,1,31,1984,6,520,16,1
ESS7e02_1,210,AT,4,2,2,2,6,4,8,2,0,3,5,7,178,78,1,34,1981,6,610,16,1
ESS7e02_1,211,AT,3,1,2,2,9,5,4,3,3,2,1,7,165,62,2,37,1978,6,322,11,1
ESS7e02_1,212,AT,4,2,2,1,0,5,6,2,0,3,2,7,186,81,1,31,1984,6,610,21,1
ESS7e02_1,217,AT,1,0,2,1,3,7,7,2,7,1,5,7,171,66,2,33,1981,6,322,12,1
ESS7e02_1,218,AT,2,1,2,1,3,8,7,1,4,2,4,4,162,60,2,42,1972,,520,12,1
ESS7e02_1,220,AT,7,1,3,1,4,10,10,1,6,1,5,7,165,70,1,25,1989,6,322,12,1
ESS7e02_1,221,AT,7,5,2,1,5,8,5,3,0,1,4,7,168,90,2,76,1939,5,322,12,1
ESS7e02_1,229,AT,3,0,2,1,5,4,2,5,7,3,1,7,163,56,2,30,1985,6,610,16,1
ESS7e02_1,230,AT,3,1,2,1,5,3,5,2,6,1,5,2,183,88,1,40,1975,6,322,12,1
ESS7e02_1,231,AT,3,1,2,1,4,6,5,2,6,2,5,7,178,76,1,27,1988,6,610,16,1
ESS7e02_1,232,AT,3,1,2,1,6,1,7,2,6,2,1,2,190,101,1,55,1960,4,322,11,1
ESS7e02_1,233,AT,3,1,2,2,5,5,4,2,6,4,,3,178,89,1,37,1978,6,322,13,1
ESS7e02_1,234,AT,4,0,2,1,2,4,2,2,0,3,5,7,179,78,1,42,1973,4,322,12,1
ESS7e02_1,235,AT,3,1,2,1,5,7,2,5,6,1,5,7,180,83,1,43,1972,6,322,12,1
ESS7e02_1,241,AT,1,0,2,3,5,8,8,1,6,1,5,7,164,45,2,15,1999,6,0,9,
ESS7e02_1,242,AT,4,0,4,1,5,5,5,3,5,1,5,7,163,70,2,50,1964,,212,9,1
ESS7e02_1,243,AT,4,1,1,2,5,10,10,1,5,1,5,7,178,80,2,36,1978,6,422,14,1
ESS7e02_1,244,AT,5,1,2,1,5,8,8,2,8,1,1,2,179,80,1,58,1956,6,322,9,1
ESS7e02_1,253,AT,2,1,3,1,5,3,4,3,5,1,3,2,177,71,1,76,1939,,322,13,2
ESS7e02_1,254,AT,2,2,3,1,6,6,7,2,3,1,3,3,168,70,2,52,1962,,322,12,3
ESS7e02_1,255,AT,3,1,4,3,5,6,6,1,2,2,5,4,162,58,2,44,1970,1,322,10,1
ESS7e02_1,265,AT,5,2,2,1,5,5,6,3,4,1,3,3,171,64,1,58,1956,5,322,13,1
ESS7e02_1,267,AT,4,2,1,1,9,9,10,2,8,1,5,7,172,85,2,56,1958,,212,9,1
ESS7e02_1,268,AT,4,3,1,1,5,8,10,2,5,1,5,2,178,96,1,67,1947,,322,12,1
ESS7e02_1,269,AT,6,3,3,1,4,10,10,3,10,1,5,7,165,102,2,76,1938,,212,8,
ESS7e02_1,270,AT,7,0,2,1,5,8,8,3,0,1,1,3,185,100,1,28,1987,,322,9,1
ESS7e02_1,277,AT,5,1,3,1,6,8,8,2,8,1,5,7,168,75,2,27,1988,,322,11,3
ESS7e02_1,278,AT,5,2,4,1,7,6,5,2,0,1,1,2,178,83,1,52,1963,4,322,13,1
ESS7e02_1,279,AT,2,0,3,1,7,7,6,2,6,1,1,1,166,62,2,39,1976,,322,15,1
ESS7e02_1,280,AT,3,2,2,1,6,7,7,2,6,1,1,2,179,89,1,37,1978,,322,10,2
ESS7e02_1,289,AT,6,2,2,1,5,5,7,1,5,1,5,3,166,70,1,55,1960,4,322,12,1
ESS7e02_1,290,AT,6,0,4,2,5,9,7,1,5,1,5,7,189,82,1,23,1992,6,322,12,1
ESS7e02_1,291,AT,4,2,2,1,4,8,8,1,5,1,5,5,174,80,1,24,1991,6,423,13,1
ESS7e02_1,292,AT,5,1,3,2,5,7,8,1,2,1,5,5,159,62,2,28,1987,6,322,11,1
ESS7e02_1,293,AT,5,1,4,2,5,9,9,1,0,1,4,4,175,,2,36,1979,,322,11,1
ESS7e02_1,294,AT,4,0,3,2,5,9,8,2,4,4,3,5,158,67,2,30,1985,6,322,12,1
ESS7e02_1,301,AT,3,1,1,1,7,9,7,2,7,2,5,,182,87,1,44,1971,,423,13,2
ESS7e02_1,302,AT,3,2,1,2,4,7,8,3,6,2,4,7,175,57,2,68,1947,4,720,17,1
ESS7e02_1,303,AT,5,2,2,1,5,8,2,3,1,1,5,2,186,103,1,60,1955,,423,13,1
ESS7e02_1,304,AT,2,2,1,2,5,7,8,3,5,2,1,2,173,79,1,40,1975,6,610,16,1
ESS7e02_1,309,AT,4,1,4,2,6,7,7,2,4,2,1,7,172,75,2,29,1986,6,313,12,
ESS7e02_1,310,AT,5,1,4,2,6,5,5,2,2,1,4,6,165,75,1,45,1970,6,212,9,1
ESS7e02_1,311,AT,0,,1,1,2,6,6,3,0,2,1,2,160,45,2,29,1985,6,610,13,2
ESS7e02_1,312,AT,4,2,2,1,6,7,7,2,2,2,1,4,177,78,1,79,1936,4,322,12,1
ESS7e02_1,313,AT,4,0,2,1,6,10,9,2,3,1,4,4,185,95,1,,,1,720,13,1
ESS7e02_1,317,AT,2,2,4,1,5,7,8,1,5,2,5,7,166,65,2,49,1966,,322,12,1
ESS7e02_1,318,AT,2,1,2,1,5,6,6,2,7,2,5,1,175,85,1,66,1949,,212,8,2
ESS7e02_1,319,AT,6,2,2,1,3,7,8,3,3,2,1,3,184,106,1,63,1952,4,322,12,1
ESS7e02_1,320,AT,6,1,2,1,4,8,9,4,7,2,5,7,159,54,2,60,1955,6,212,9,1
ESS7e02_1,329,AT,7,2,3,1,4,10,9,2,5,1,5,7,165,58,2,77,1938,5,322,11,1
ESS7e02_1,330,AT,7,2,3,1,5,8,8,2,6,1,3,2,160,60,2,74,1941,4,322,12,1
ESS7e02_1,331,AT,3,1,4,2,3,5,8,1,0,2,1,2,125,75,1,33,1982,6,0,9,1
ESS7e02_1,332,AT,6,2,1,1,5,9,9,1,5,1,5,6,178,75,1,52,1963,6,322,12,2
ESS7e02_1,337,AT,7,7,1,1,5,8,1,1,10,1,5,3,184,98,1,63,1952,,800,16,1
ESS7e02_1,338,AT,5,3,1,1,6,6,8,1,9,1,5,2,184,98,1,62,1952,,800,17,1
ESS7e02_1,339,AT,3,1,2,1,8,8,8,2,5,1,3,6,162,69,2,63,1952,,720,17,2
ESS7e02_1,340,AT,3,3,1,1,5,10,8,1,5,1,5,1,160,58,2,83,1932,5,720,23,1
ESS7e02_1,342,AT,1,1,3,1,5,2,8,1,8,1,3,7,162,55,2,33,1981,6,800,17,1
ESS7e02_1,349,AT,4,2,1,1,3,9,9,2,9,2,5,3,165,74,2,46,1968,,322,11,1
ESS7e02_1,350,AT,5,1,3,1,3,10,9,1,8,1,5,6,160,70,2,51,1963,4,610,14,1
ESS7e02_1,351,AT,5,2,2,1,5,10,10,2,8,1,3,2,173,93,1,64,1950,,610,11,1
ESS7e02_1,352,AT,4,2,1,1,8,8,7,2,4,1,1,3,180,108,1,34,1980,6,520,14,2
ESS7e02_1,353,AT,6,3,2,1,5,8,9,2,5,2,3,3,182,71,1,67,1947,,520,17,1
ESS7e02_1,354,AT,5,2,3,1,4,10,10,3,6,1,3,3,167,81,2,69,1945,5,322,11,1
ESS7e02_1,355,AT,2,2,2,3,3,8,8,2,2,2,5,6,157,58,2,16,1998,6,113,11,
ESS7e02_1,356,AT,5,1,2,1,4,10,10,1,0,1,5,5,167,77,2,49,1965,4,322,13,1
ESS7e02_1,362,AT,6,3,1,1,5,7,7,2,5,2,5,7,165,78,2,67,1948,4,313,13,1
ESS7e02_1,363,AT,5,3,1,1,6,7,6,2,6,1,3,4,190,98,1,69,1946,,610,15,1
ESS7e02_1,364,AT,3,2,2,1,4,5,5,3,3,2,2,4,168,58,2,59,1956,,422,14,1
ESS7e02_1,365,AT,5,0,3,2,5,5,5,1,2,2,1,7,162,55,2,21,1994,6,0,14,1
ESS7e02_1,369,AT,5,2,2,1,3,9,9,1,3,1,5,4,165,52,2,48,1967,4,610,17,1
ESS7e02_1,370,AT,7,1,4,2,0,9,0,1,0,3,1,4,184,102,1,37,1978,6,322,12,1
ESS7e02_1,371,AT,3,3,1,1,5,2,1,4,3,1,4,2,170,60,1,40,1975,6,710,8,1
ESS7e02_1,372,AT,7,2,2,1,4,8,9,3,4,1,5,5,190,80,1,56,1959,,322,12,1
ESS7e02_1,373,AT,7,3,2,1,2,8,7,2,6,2,5,7,171,68,2,58,1957,,212,9,1
ESS7e02_1,377,AT,5,2,3,1,7,8,8,2,6,1,5,6,177,77,1,51,1964,,322,16,1
ESS7e02_1,378,AT,4,3,2,1,3,7,7,3,5,2,5,2,178,92,1,47,1968,6,800,20,1
ESS7e02_1,379,AT,7,4,1,1,5,8,9,2,3,1,3,7,172,77,1,66,1948,,322,12,1
ESS7e02_1,389,AT,1,1,4,1,0,8,8,2,2,1,1,1,178,76,1,77,1938,6,322,9,1
ESS7e02_1,390,AT,7,3,3,1,6,5,3,2,0,2,3,6,163,74,1,68,1947,,322,10,1
ESS7e02_1,391,AT,1,1,2,1,4,0,6,3,7,1,1,2,173,60,2,50,1965,,322,11,1
ESS7e02_1,392,AT,7,0,3,1,5,4,0,3,9,2,1,3,159,70,2,53,1962,,212,8,1
ESS7e02_1,393,AT,2,2,3,1,3,6,7,2,10,1,1,4,170,74,2,52,1963,4,322,11,1
ESS7e02_1,394,AT,5,1,4,1,5,9,9,4,10,1,3,2,176,101,2,51,1964,,322,11,1
ESS7e02_1,395,AT,1,1,2,1,10,10,10,2,0,1,1,6,186,110,1,36,1979,6,322,10,1
ESS7e02_1,396,AT,5,2,4,2,8,7,9,2,5,1,1,4,193,70,1,26,1989,6,322,10,1
ESS7e02_1,397,AT,5,1,2,1,5,8,10,2,8,1,1,7,167,55,2,62,1953,6,322,10,2
ESS7e02_1,398,AT,7,2,2,1,7,10,8,2,8,1,3,2,184,94,1,75,1940,,212,8,
ESS7e02_1,401,AT,4,2,2,1,5,6,6,2,3,1,1,2,170,83,1,67,1948,,313,14,1
ESS7e02_1,402,AT,4,2,3,1,5,2,7,2,3,1,1,3,185,85,1,48,1967,4,423,14,1
ESS7e02_1,403,AT,6,4,3,1,4,7,6,3,7,1,1,6,162,,2,67,1948,6,423,15,1
ESS7e02_1,404,AT,4,1,4,2,5,7,8,1,5,2,5,6,163,58,2,26,1989,6,322,12,1
ESS7e02_1,405,AT,4,2,2,1,5,8,5,2,4,1,5,2,182,68,1,60,1955,4,423,15,2
ESS7e02_1,406,AT,2,0,3,2,6,8,6,2,2,2,3,3,171,67,2,49,1966,,313,12,1
ESS7e02_1,413,AT,7,3,1,2,3,0,0,3,8,1,3,1,174,70,1,63,1952,4,212,9,1
ESS7e02_1,414,AT,7,4,4,1,3,8,5,2,2,1,1,3,154,70,2,75,1940,5,322,10,1
ESS7e02_1,416,AT,5,2,4,1,5,5,3,3,3,3,1,2,179,67,1,42,1973,6,322,12,1
ESS7e02_1,417,AT,5,2,2,1,5,7,7,2,5,1,3,6,180,,2,37,1978,,322,12,1
ESS7e02_1,418,AT,7,3,2,1,4,10,9,2,5,1,5,5,165,87,2,72,1943,,322,11,1
ESS7e02_1,419,AT,3,2,2,1,5,5,6,2,5,1,3,3,168,83,1,42,1973,,322,13,1
ESS7e02_1,420,AT,4,2,4,1,2,9,7,3,5,1,5,7,156,60,2,82,1933,,113,8,
ESS7e02_1,425,AT,6,2,1,1,2,9,9,1,7,1,5,6,176,88,1,44,1971,,620,19,1
ESS7e02_1,426,AT,7,1,4,1,5,8,8,2,7,1,1,7,172,85,2,66,1949,6,212,8,1
ESS7e02_1,427,AT,3,2,2,1,3,7,7,1,9,1,5,7,174,65,1,51,1964,4,423,13,1
ESS7e02_1,428,AT,2,1,2,1,3,8,8,2,5,2,1,7,160,68,2,66,1949,4,423,14,1
ESS7e02_1,433,AT,0,,4,1,2,8,8,2,4,1,5,6,188,80,1,41,1974,6,322,14,1
ESS7e02_1,434,AT,6,6,2,2,0,10,10,2,2,2,1,7,174,74,2,37,1978,,213,11,1
ESS7e02_1,435,AT,5,2,2,1,2,8,9,1,8,2,4,7,163,75,2,33,1982,,720,17,1
ESS7e02_1,436,AT,6,1,3,1,2,10,10,1,3,1,3,4,170,90,2,37,1978,,313,14,1
ESS7e02_1,441,AT,5,5,1,1,6,9,8,3,0,1,3,2,186,118,1,70,1945,1,322,11,
ESS7e02_1,442,AT,7,7,2,2,2,9,8,2,0,2,1,5,183,122,1,64,1951,4,322,11,1
ESS7e02_1,443,AT,7,7,3,1,5,8,9,2,5,1,1,2,163,65,2,73,1942,4,212,9,
ESS7e02_1,444,AT,7,1,4,1,4,2,2,2,0,2,1,2,160,46,2,65,1950,,212,9,1
ESS7e02_1,445,AT,4,4,1,1,3,8,6,2,0,3,1,,173,81,1,64,1951,4,313,12,1
ESS7e02_1,449,AT,3,1,3,2,5,9,9,2,5,2,5,7,165,73,2,22,1993,6,322,13,1
ESS7e02_1,450,AT,3,1,3,1,5,8,6,3,4,2,2,4,176,90,1,31,1984,6,322,13,1
ESS7e02_1,451,AT,2,1,4,1,5,9,10,2,8,1,5,5,165,68,2,58,1957,,322,13,2
ESS7e02_1,452,AT,4,0,3,1,5,10,8,2,4,2,1,6,172,76,2,28,1987,6,322,13,1
ESS7e02_1,453,AT,4,1,2,1,7,10,10,3,4,2,5,5,170,68,2,41,1974,,322,13,1
ESS7e02_1,454,AT,4,1,1,1,4,10,9,1,6,1,1,6,160,53,2,57,1958,,322,13,1
ESS7e02_1,455,AT,6,2,4,1,5,8,8,2,4,1,3,1,184,95,1,51,1964,,322,13,1
ESS7e02_1,461,AT,5,2,1,1,5,8,8,2,7,1,5,2,170,77,1,76,1939,4,423,13,1
ESS7e02_1,462,AT,5,1,3,1,4,9,9,1,8,1,5,6,175,65,1,58,1957,,322,15,1
ESS7e02_1,463,AT,7,3,3,1,3,10,10,2,9,1,5,4,165,65,2,79,1936,,322,12,1
ESS7e02_1,464,AT,7,2,3,1,7,7,7,2,8,1,5,4,175,90,1,65,1950,4,322,14,2
ESS7e02_1,465,AT,7,4,1,1,8,10,9,3,8,1,3,3,178,72,1,73,1942,,322,11,1
ESS7e02_1,466,AT,7,1,2,1,6,8,8,1,5,1,5,2,157,56,2,74,1941,,322,13,1
ESS7e02_1,467,AT,7,2,3,1,5,7,8,4,10,1,5,7,160,78,2,80,1935,5,322,12,1
ESS7e02_1,473,AT,2,0,2,1,3,5,7,2,8,1,1,2,186,86,1,41,1974,6,322,12,1
ESS7e02_1,474,AT,3,1,2,2,6,4,7,2,4,3,5,7,163,58,2,30,1985,6,710,17,1
ESS7e02_1,475,AT,5,2,2,2,6,5,5,1,6,4,5,7,178,76,1,29,1986,6,620,18,1
ESS7e02_1,476,AT,3,1,2,2,6,3,6,2,5,4,5,7,193,89,1,45,1970,1,322,13,1
ESS7e02_1,482,AT,7,2,3,1,5,0,8,1,8,1,5,7,168,70,2,62,1953,5,212,9,2
ESS7e02_1,484,AT,7,0,4,2,5,7,8,1,0,2,1,5,177,70,1,30,1985,6,212,12,
ESS7e02_1,487,AT,7,3,3,1,5,4,7,2,7,2,3,1,173,85,1,67,1948,,322,11,
ESS7e02_1,488,AT,7,0,3,2,5,8,8,2,0,2,5,7,152,55,2,26,1989,2,212,9,1
ESS7e02_1,489,AT,7,2,4,2,7,5,8,2,8,1,5,7,168,85,2,59,1956,,212,9,1
ESS7e02_1,493,AT,0,,4,1,10,7,5,4,1,2,1,4,189,80,1,25,1990,6,322,13,1
ESS7e02_1,494,AT,3,2,2,1,4,10,10,2,1,1,1,4,180,71,2,48,1967,5,313,12,1
ESS7e02_1,495,AT,6,3,1,1,5,10,10,1,5,1,3,3,175,94,1,67,1948,,322,12,1
ESS7e02_1,496,AT,5,3,2,1,5,7,7,3,0,1,3,1,177,81,1,72,1943,,800,22,1
ESS7e02_1,497,AT,3,3,1,1,7,10,9,1,7,1,5,3,173,78,1,71,1944,,720,17,1
ESS7e02_1,498,AT,4,3,1,1,5,10,10,1,10,1,1,4,170,70,2,58,1957,,422,15,1
